discipline	word	ipa	definition	freq	docs	listening_specific
生物学 Biology	migration	/maɪˈɡreɪʃn/	n. 迁移，迁徙	23	7	Y
生物学 Biology	insect	/ˈɪnsekt/	n. 昆虫	22	14	Y
生物学 Biology	support	/səˈpɔːrt/	v. 支持；支撑；n. 支持	20	16	Y
生物学 Biology	structure	/ˈstrʌktʃər/	n. 结构；建筑物	20	14	Y
生物学 Biology	oxygen	/ˈɑːksɪdʒən/	n. 氧气	19	8	Y
生物学 Biology	biologist	/baɪˈɑːlədʒɪst/	n. 生物学家	18	9	Y
生物学 Biology	evolution	/ˌevəˈluːʃn/	n. 进化	17	8	Y
生物学 Biology	organ	/ˈɔːrɡən/	n. 器官	16	12	Y
生物学 Biology	reptile	/ˈreptaɪl/	n. 爬行动物	16	8	Y
生物学 Biology	cognitive	/ˈkɑːɡnətɪv/	adj. 认知的	16	7	Y
生物学 Biology	social	/ˈsoʊʃl/	adj. 社会的；群居的	16	6	Y
生物学 Biology	prey	/preɪ/	n. 猎物；v. 捕食	15	8	Y
生物学 Biology	evidence	/ˈɛvɪdəns/	n. 证据	38	22	N
生物学 Biology	hypothesis	/haɪˈpɑːθəsɪs/	n. 假说，假设	37	12	N
生物学 Biology	liquid	/ˈlɪkwɪd/	n. 液体	22	7	N
生物学 Biology	climate	/ˈklaɪmət/	n. 气候	20	11	N
地质学 Geology	temperature	/ˈtɛmpərətʃər/	n. 温度	62	16	Y
地质学 Geology	layer	/ˈleɪər/	n. 层，地层，岩层	59	15	Y
地质学 Geology	life	/laɪf/	n. 生活；生命	43	13	Y
地质学 Geology	mineral	/ˈmɪnərəl/	n. 矿物，矿物质	42	6	Y
地质学 Geology	process	/ˈprɑːsɛs/	n. 过程，作用；v. 处理	40	17	Y
地质学 Geology	energy	/ˈenərdʒi/	n. 能量；精力	37	6	Y
地质学 Geology	surface	/ˈsɜːrfəs/	n. 表面，地表	36	18	Y
地质学 Geology	material	/məˈtɪriəl/	n. 材料，素材	34	10	Y
地质学 Geology	plate	/pleɪt/	n. 板块（地壳）；板	31	5	Y
地质学 Geology	fossil	/ˈfɑːsəl/	n. 化石	30	8	Y
地质学 Geology	crack	/kræk/	n. 裂缝，裂隙；v. 裂开	29	7	Y
地质学 Geology	flow	/floʊ/	n./v. 流动，水流，熔岩流	25	9	Y
地质学 Geology	mass	/mæs/	n. 质量；大量（物质）	24	7	Y
地质学 Geology	researcher	/rɪˈsɜːrtʃər/	n. 研究者；研究员	23	9	Y
地质学 Geology	pressure	/ˈprɛʃər/	n. 压力，压强	22	7	Y
地质学 Geology	sediment	/ˈsɛdɪmənt/	n. 沉积物，沉淀	21	5	Y
地质学 Geology	chemical	/ˈkemɪkl/	adj. 化学的 n. 化学物质	16	6	Y
地质学 Geology	geology	/dʒiˈɑːlədʒi/	n. 地质学	15	13	Y
地质学 Geology	fuel	/ˈfjuːəl/	n. 燃料	14	5	Y
地质学 Geology	climate	/ˈklaɪmət/	n. 气候	52	14	N
地质学 Geology	desert	/ˈdɛzərt/	n. 沙漠	29	6	N
地质学 Geology	atmosphere	/ˈætməsfɪr/	n. 大气，大气层	23	7	N
地质学 Geology	crust	/krʌst/	n. 地壳	20	5	N
地质学 Geology	hypothesis	/haɪˈpɑːθəsɪs/	n. 假说，假设	20	5	N
地质学 Geology	impact	/ˈɪmpækt/	n. 撞击，影响；v. 撞击	15	6	N
天文学 Astronomy	planet	/ˈplænɪt/	n. 行星	112	19	Y
天文学 Astronomy	star	/stɑːr/	n. 恒星，星星	80	12	Y
天文学 Astronomy	solar	/ˈsoʊlər/	adj. 太阳的	71	16	Y
天文学 Astronomy	energy	/ˈenərdʒi/	n. 能量；精力	51	7	Y
天文学 Astronomy	moon	/muːn/	n. 月球，月亮；卫星	51	5	Y
天文学 Astronomy	theory	/ˈθɪəri/	n. 理论，学说	50	11	Y
天文学 Astronomy	system	/ˈsɪstəm/	n. 系统；体系；制度	46	14	Y
天文学 Astronomy	surface	/ˈsɜːrfəs/	n. 表面，地表	33	9	Y
天文学 Astronomy	telescope	/ˈtɛlɪskoʊp/	n. 望远镜	29	8	Y
天文学 Astronomy	material	/məˈtɪriəl/	n. 材料，素材	24	7	Y
天文学 Astronomy	particle	/ˈpɑːrtɪkəl/	n. 粒子，微粒	23	9	Y
天文学 Astronomy	giant	/ˈdʒaɪənt/	adj. 巨大的；n. 巨人，巨星	23	8	Y
天文学 Astronomy	orbit	/ˈɔːrbɪt/	n. 轨道；v. 绕…运行	23	8	Y
天文学 Astronomy	astronomer	/əˈstrɑːnəmər/	n. 天文学家	22	8	Y
天文学 Astronomy	magnetic	/mæɡˈnɛtɪk/	adj. 磁性的	22	5	Y
天文学 Astronomy	saturn	/ˈsætərn/	n. 土星	22	5	Y
天文学 Astronomy	dust	/dʌst/	n. 尘埃，宇宙尘埃	20	7	Y
天文学 Astronomy	formation	/fɔːrˈmeɪʃən/	n. 形成，构成；地层	19	8	Y
天文学 Astronomy	universe	/ˈjuːnɪvɜːrs/	n. 宇宙	17	5	Y
天文学 Astronomy	jupiter	/ˈdʒuːpɪtər/	n. 木星	15	7	Y
天文学 Astronomy	discovery	/dɪˈskʌvəri/	n. 发现	14	9	Y
天文学 Astronomy	century	/ˈsentʃəri/	n. 世纪	14	7	Y
天文学 Astronomy	radiation	/ˌreɪdiˈeɪʃən/	n. 辐射	14	6	Y
天文学 Astronomy	molecule	/ˈmɑːlɪkjuːl/	n. 分子	14	5	Y
天文学 Astronomy	mass	/mæs/	n. 质量；大量（物质）	13	5	Y
天文学 Astronomy	astronomy	/əˈstrɑːnəmi/	n. 天文学	26	17	N
天文学 Astronomy	atmosphere	/ˈætməsfɪr/	n. 大气，大气层	22	10	N
天文学 Astronomy	evidence	/ˈɛvɪdəns/	n. 证据	17	7	N
历史学/考古学 History & Archaeology	site	/saɪt/	n. 遗址；地点	48	11	Y
历史学/考古学 History & Archaeology	ancient	/ˈeɪnʃənt/	adj. 古代的	42	11	Y
历史学/考古学 History & Archaeology	stone	/stoʊn/	n. 石头，石材	33	11	Y
历史学/考古学 History & Archaeology	american	/əˈmerɪkən/	adj. 美国的；n. 美国人	29	7	Y
历史学/考古学 History & Archaeology	history	/ˈhɪstəri/	n. 历史	27	12	Y
历史学/考古学 History & Archaeology	culture	/ˈkʌltʃər/	n. 文化	26	11	Y
历史学/考古学 History & Archaeology	period	/ˈpɪriəd/	n. 时期，时代	25	9	Y
历史学/考古学 History & Archaeology	settlement	/ˈsetlmənt/	n. 定居点；殖民地	24	8	Y
历史学/考古学 History & Archaeology	europe	/ˈjʊrəp/	n. 欧洲	24	6	Y
历史学/考古学 History & Archaeology	structure	/ˈstrʌktʃər/	n. 结构；建筑物	24	5	Y
历史学/考古学 History & Archaeology	america	/əˈmerɪkə/	n. 美洲；美国	23	8	Y
历史学/考古学 History & Archaeology	system	/ˈsɪstəm/	n. 系统；体系；制度	23	6	Y
历史学/考古学 History & Archaeology	society	/səˈsaɪəti/	n. 社会	22	12	Y
历史学/考古学 History & Archaeology	civilization	/ˌsɪvələˈzeɪʃn/	n. 文明	21	9	Y
历史学/考古学 History & Archaeology	archaeologist	/ˌɑːrkiˈɑːlədʒɪst/	n. 考古学家	20	9	Y
历史学/考古学 History & Archaeology	archaeology	/ˌɑːrkiˈɑːlədʒi/	n. 考古学	17	11	Y
历史学/考古学 History & Archaeology	agricultural	/ˌæɡrɪˈkʌltʃərəl/	adj. 农业的	17	8	Y
历史学/考古学 History & Archaeology	crop	/krɑːp/	n. 农作物，庄稼	16	7	Y
历史学/考古学 History & Archaeology	tool	/tuːl/	n. 工具	16	7	Y
历史学/考古学 History & Archaeology	egyptian	/ɪˈdʒɪpʃn/	adj. 埃及的；n. 埃及人	16	5	Y
历史学/考古学 History & Archaeology	century	/ˈsentʃəri/	n. 世纪	15	7	Y
历史学/考古学 History & Archaeology	historian	/hɪˈstɔːriən/	n. 历史学家	15	6	Y
历史学/考古学 History & Archaeology	trade	/treɪd/	n. 贸易；v. 交易	13	6	Y
历史学/考古学 History & Archaeology	egypt	/ˈiːdʒɪpt/	n. 埃及	12	6	Y
历史学/考古学 History & Archaeology	agriculture	/ˈæɡrɪkʌltʃər/	n. 农业	12	5	Y
历史学/考古学 History & Archaeology	asia	/ˈeɪʒə/	n. 亚洲	12	5	Y
艺术史/艺术 Art History	artist	/ˈɑːrtɪst/	n. 艺术家	150	30	Y
艺术史/艺术 Art History	painting	/ˈpeɪntɪŋ/	n. 绘画，油画	141	28	Y
艺术史/艺术 Art History	music	/ˈmjuːzɪk/	n. 音乐	121	17	Y
艺术史/艺术 Art History	play	/pleɪ/	n. 戏剧，剧本；v. 演奏	104	26	Y
艺术史/艺术 Art History	story	/ˈstɔːri/	n. 故事	88	28	Y
艺术史/艺术 Art History	century	/ˈsentʃəri/	n. 世纪	86	45	Y
艺术史/艺术 Art History	film	/fɪlm/	n. 电影；胶片	84	10	Y
艺术史/艺术 Art History	history	/ˈhɪstəri/	n. 历史	70	56	Y
艺术史/艺术 Art History	life	/laɪf/	n. 生活；生命	66	31	Y
艺术史/艺术 Art History	theater	/ˈθiːətər/	n. 剧院；戏剧	65	18	Y
艺术史/艺术 Art History	audience	/ˈɔːdiəns/	n. 观众，听众	64	23	Y
艺术史/艺术 Art History	style	/staɪl/	n. 风格，样式	54	27	Y
艺术史/艺术 Art History	ancient	/ˈeɪnʃənt/	adj. 古代的	54	18	Y
艺术史/艺术 Art History	paint	/peɪnt/	v. 绘画，涂色；n. 颜料	51	14	Y
艺术史/艺术 Art History	greek	/ɡriːk/	adj. 希腊的；n. 希腊语	48	12	Y
艺术史/艺术 Art History	painter	/ˈpeɪntər/	n. 画家	46	21	Y
艺术史/艺术 Art History	stage	/steɪdʒ/	n. 舞台；阶段	45	13	Y
艺术史/艺术 Art History	technique	/tekˈniːk/	n. 技法，技术	43	23	Y
艺术史/艺术 Art History	roman	/ˈroʊmən/	adj. 古罗马的；n. 罗马人	43	5	Y
艺术史/艺术 Art History	renaissance	/ˈrenəsɑːns/	n. 文艺复兴	42	10	Y
艺术史/艺术 Art History	sculpture	/ˈskʌlptʃər/	n. 雕塑	42	10	Y
艺术史/艺术 Art History	detail	/ˈdiːteɪl/	n. 细节	39	18	Y
艺术史/艺术 Art History	object	/ˈɑːbdʒekt/	n. 物体，物品	35	11	Y
艺术史/艺术 Art History	literature	/ˈlɪtərətʃər/	n. 文学	34	18	Y
艺术史/艺术 Art History	museum	/mjuˈziːəm/	n. 博物馆	34	9	Y
艺术史/艺术 Art History	statue	/ˈstætʃuː/	n. 雕像，塑像	34	8	Y
艺术史/艺术 Art History	poem	/ˈpoʊəm/	n. 诗歌	33	11	Y
艺术史/艺术 Art History	dance	/dæns/	n. 舞蹈；v. 跳舞	33	10	Y
艺术史/艺术 Art History	traditional	/trəˈdɪʃənl/	adj. 传统的	32	21	Y
艺术史/艺术 Art History	material	/məˈtɪriəl/	n. 材料，素材	32	18	Y
艺术史/艺术 Art History	period	/ˈpɪriəd/	n. 时期，时代	31	21	Y
艺术史/艺术 Art History	medium	/ˈmiːdiəm/	n. 媒介，材料	29	8	Y
艺术史/艺术 Art History	movement	/ˈmuːvmənt/	运动;乐章	26	14	Y
艺术史/艺术 Art History	portrait	/ˈpɔːrtrət/	n. 肖像画	25	8	Y
艺术史/艺术 Art History	approach	/əˈproʊtʃ/	n. 方法，途径；v. 接近	22	14	Y
艺术史/艺术 Art History	contemporary	/kənˈtempəreri/	adj. 当代的，现代	22	14	Y
艺术史/艺术 Art History	musician	/mjuˈzɪʃn/	n. 音乐家	22	9	Y
艺术史/艺术 Art History	wood	/wʊd/	n. 木材；木头	22	6	Y
艺术史/艺术 Art History	piano	/piˈænoʊ/	n. 钢琴	22	5	Y
艺术史/艺术 Art History	drama	/ˈdrɑːmə/	n. 戏剧	21	7	Y
艺术史/艺术 Art History	architect	/ˈɑːrkɪtekt/	n. 建筑师	21	6	Y
艺术史/艺术 Art History	perspective	/pərˈspektɪv/	n.(判断事物的)角度，方法；透视法	20	9	Y
艺术史/艺术 Art History	screen	/skriːn/	屏幕	20	7	Y
艺术史/艺术 Art History	composer	/kəmˈpoʊzər/	n. 作曲家	20	5	Y
艺术史/艺术 Art History	artistic	/ɑːrˈtɪstɪk/	adj. 艺术的	19	16	Y
艺术史/艺术 Art History	actor	/ˈæktər/	n. 演员	19	12	Y
艺术史/艺术 Art History	performance	/pərˈfɔːrməns/	n. 表演，演出	19	10	Y
艺术史/艺术 Art History	folk	/foʊk/	n. 民间音乐；adj. 民间的	19	7	Y
艺术史/艺术 Art History	playwright	/ˈpleɪraɪt/	剧作家	19	6	Y
艺术史/艺术 Art History	abstract	/ˈæbstrækt/	adj. 抽象的 n. 摘要	17	8	Y
艺术史/艺术 Art History	realistic	/ˌriːəˈlɪstɪk/	adj. 写实的，现实主义的	16	10	Y
艺术史/艺术 Art History	composition	/ˌkɑːmpəˈzɪʃn/	n. 作曲；作品；构成	15	7	Y
艺术史/艺术 Art History	critic	/ˈkrɪtɪk/	n. 评论家	14	11	Y
艺术史/艺术 Art History	unique	/juˈniːk/	独一无二的；独特的	14	10	Y
艺术史/艺术 Art History	theme	/θiːm/	(谈话, 写作等的)题目, 主题	14	6	Y
艺术史/艺术 Art History	character	/ˈkærəktər/	n. 角色；人物	78	14	N
艺术史/艺术 Art History	design	/dɪˈzaɪn/	n. 设计；v. 设计	68	14	N
艺术史/艺术 Art History	instrument	/ˈɪnstrəmənt/	n. 乐器；仪器	35	10	N
艺术史/艺术 Art History	canvas	/ˈkænvəs/	n. 画布	23	10	N
心理学/认知科学 Psychology & Cognition	development	/dɪˈveləpmənt/	n. 发展；开发；进展	38	5	Y
心理学/认知科学 Psychology & Cognition	rule	/ruːl/	n. 规则；规定 v. 统治	31	4	Y
心理学/认知科学 Psychology & Cognition	language	/ˈlæŋɡwɪdʒ/	n. 语言	26	4	Y
心理学/认知科学 Psychology & Cognition	business	/ˈbɪznəs/	n. 商业；生意；商务（business school 商学院）	23	7	Y
心理学/认知科学 Psychology & Cognition	knowledge	/ˈnɑːlɪdʒ/	n. 知识；了解	19	4	Y
心理学/认知科学 Psychology & Cognition	ability	/əˈbɪləti/	n. 能力；才能	16	4	Y
心理学/认知科学 Psychology & Cognition	researcher	/rɪˈsɜːrtʃər/	n. 研究者；研究员	13	6	Y
心理学/认知科学 Psychology & Cognition	skill	/skɪl/	n. 技能；技巧	13	4	Y
心理学/认知科学 Psychology & Cognition	market	/ˈmɑːrkɪt/	n. 市场 v. 推销；营销	12	5	Y
物理学/化学 Physics & Chemistry	spectroscopy	/spekˈtrɑːskəpi/	n. 光谱学	19	3	Y
物理学/化学 Physics & Chemistry	energy	/ˈenərdʒi/	n. 能量；精力	14	4	Y
物理学/化学 Physics & Chemistry	sunlight	/ˈsʌnlaɪt/	n. 阳光	11	3	Y
物理学/化学 Physics & Chemistry	chemical	/ˈkemɪkl/	adj. 化学的 n. 化学物质	10	3	Y
物理学/化学 Physics & Chemistry	element	/ˈelɪmənt/	n. 元素；要素；成分	49	4	N
