index	term	definition
185	quiescent	静止的，寂静的
186	quilt	棉被
187		制成棉被
188	quilter	缝被子的人
189	quota	配额；定量，定额
190	quotation	引用语
191	radar	雷达
192	radiant	发光的；荣光焕发的
193	radiate	放射；辐射
194	irradiate	照射
195	radiation	辐射，发光，放热
196	radical	根本的；激进的
197	radically	根本上
198	sporadically	偶发地, 零星地
199	raft	筏，救生艇
200	graft	嫁接，接枝
201	craft	工艺，手艺
202	aircraft	航行器
203	spacecraft	太空船
204	hovercraft	气垫船
205	rage	风尚，风靡一时的事物
206		大怒，情绪激动
207	coverage	覆盖
208	news coverage	新闻报道
209	outrage	凌辱，引起...义愤
210	enrage	激怒
211	mirage	海市蜃楼；幻想
212	sewerage	排水设备，污水
213	forage	草料
214	ragged	褴褛的，破烂的
215	ragtime	拉格泰姆音乐
216	raid	袭击
217	braid	编织
218	rainfall	降雨；降雨量
219	rally	召集，集合
220	rampant	蔓生的，猖獗的
221	ranch	农场，牧场
222	ranching	牧场经营；畜牧业
223	rancher	大农场经营者；牧场工人
224	range	行列；范围
225	a range of	一系列的东西
226	range from...to...	从...到...范围不等
227	rank	排列，归类
228		等级
229	rare	稀有的
230	rarefy	使稀少，使稀薄
231	rarely	很少地，罕有地
232	ratify	批准
233	ration	定量，配给量
234		定量配给
235	rationing	（食物等的）配给
236	rational	理性的，合理的
237	rattle	拨浪鼓；格格声
238	rattlesnake	响尾蛇
239	raucous	沙哑的；喧嚣的
240	raven	大乌鸦
241		掠夺
242	ravine	沟壑，峡谷
243	ray	光线
244	rayon	人造丝, 人造纤维
245	crayon	蜡笔、彩笔及其绘画
246	fray	使磨损
247	foray	袭击
248	tray	碟，盘子
249	array	编队；大批
250	betray	出卖，背叛
251	spray	喷射，喷溅
252	raze	夷为平地
253	graze	放牧，吃草
254	craze	狂热
255	readily	容易地；欣然地，立刻地
256	readjust	重新调整
257	realization	实现；意识
258	realm	王国，领域
259	reap	收割，收获
260	rear	培养，饲养
261		后面
262	rebel	叛徒
263		谋反
264	rebellion	谋反，叛乱
265	rebellious	造反的，反叛的
266	rebuke	斥责，谴责
267	recall	忆起，记忆
268	receptacle	容器；贮藏所，仓库
269	reception	接待；招待会
270		接收
271	receptionist	招待员
272	receptive	善于接受的，能接纳的
273	receptor	接受器，感受器
274	recession	萧条时期，（经济）衰退
275	recipe	食谱，处方
276	recipient	接受者，接收方
277	recital	独奏会
278	reckless	轻率的，鲁莽的
279	reckon	计算；估计，猜想
280	reclaim	开垦；要求归还，收回
281	recognize	识别，辨认
282		公认，赏识
283	recognition	赞誉，承认
284	recoil	弹回，反冲
285	recollection	回忆，记忆
286	recommend	推荐
287		劝告
288	recommendation	推荐，介绍（信）
289	reconstruct	重建，改进
290	reconstruction	复兴，改造，再建
291	recount	叙述，描写
292	recreation	消遣，娱乐
293	recreational	娱乐的
294	recruit	征兵，征募；补充
295	rectangle	长方形
296	rectangular	矩形的，长方形的
297	rectify	矫正
298	recur	重现，再来；复发
299	recurring	往复的，再次发生的
300	recycle	使再循环，再利用
301	redirect	（信件）重寄；使改变方向
302	reed	芦苇
303	refine	精炼，精制
304	refined	优雅的；精制的
305	refinement	（言语、举止等的）文雅，精巧
306	reflection	反映
307	reform	改革，革新
308	reformer	改革家，改革运动者
309	reformism	改革主义
310	refraction	折光，折射
311	refreshing	提神的,凉爽的;使人耳目一新的
312	refreshment	茶点；提神之事物
313	refrigerate	使冷却，冷藏
314	refrigerator	冰箱，冷藏库
315	refrigeration	冷藏，冷却
316	refrigerant	制冷剂
317	refurbish	翻新
318	refute	反驳
319	regardless	不管，不顾，不注意
320	regardless of	不管，不论
321	regenerate	使再生，新生；更新
322	regeneration	（灵魂）重生，新生
323	regime	政权，政体；政治制度
324	regimentation	系统化，组织化；团队精神
325	register	登记
326	regulate	管制，控制
327		调节
328	regulatory	按规矩来的，规章的，调节的
329	regulation	规则，规章
330	rehabilitate	使(身体)康复；使复职；使复元
331	rehabilitation	康复；恢复（名誉或地位）；修复
332	rehearse	预演，排练
333	reign	统治，支配
334	reigning	统治的，起支配作用的
335	sovereignty	统治权，主权
336	reimburse	偿还
337	reinforce	加强
338	reinterpretation	重新解释，纠正性说明
339	reiterate	重申，反复地说
340	reject	拒绝，抵制
341	rejection	拒绝
342	rejuvenate	(使)返老还童；(使)恢复活力
343	rekindle	再点火；使再振作
344	relax	（使）松弛，放松
345	relaxed	不拘束的；悠闲的
346	relaxation	松弛，缓和
347	relay	分程传递；传播
348	release	释放
349	relevant	有关的，切题的
350	relevance	相关
351	nonrelevant	非关联的，非相关的
352	irrelevant	不相关的，不切题的
353	reliable	可靠的，可信赖的
354	reliant	依靠的，信赖自己的
355	reliance	依靠；依靠的人或物
356	reliability	可靠性
357	relic	遗迹，纪念物
358	relieve	减轻
359	relieved	放心的；免除的
360	religion	宗教
361	religious	信奉宗教的，虔诚的
362	reluctant	不情愿的，勉强的
363	remainder	残余，剩余物
364	remaining	剩余，残余
365	remark	评论，注释
366		评论；谈及
367	remarkable	显著的，值得注意的
368	remarkably	显著地，引人注目地
369	remedy	药物
370		治疗；补救
371	remind	提醒，使记得
372	reminder	提醒物；提示；通知
373	remnant	残余，遗迹
374	remote	遥远的，偏僻的
375	renaissance	复活；文艺复兴
376	render	给予，提供
377	rendering	表现，描写
378	surrender	交出，放弃；投降
379	rendition	表演，演唱
380	renew	使更新，使恢复；重新开始
381	renewal	更新；复兴
382	renewable	可再生的
383	renounce	声明放弃；宣布断绝关系
384	renunciation	放弃；宣布终止
385	renovate	革新；修理，修复
386	renovation	修复，整修
387		革新；修理，修复
388	rent	租金，租费
389		租，出租
390		(来自rend的过去分词)分裂的，有矛盾的
391	rentable	可出租的
392	rental	租金额；租赁，出租
393	reorient	重新确定方向；再教育
394	repel	击退，驱逐
395	repertoire	（剧团等）常备剧目，保留剧目
396	repertory	全部剧目；储备，库存；仓库
397	repetition	重复
398	replace	代替，取代
399	replenish	补充，把...再备足
400	replica	复制品
401	replicate	复制
402	represent	代表；描绘，表现
403	representation	表示，表现
404	representative	代表
405		典型的，有代表的
406	repress	抑制，镇压
407	reproductive	生殖的
408	reproduce	繁殖，再生；复制
409	reproduction	复制品；繁殖
410	reptile	爬行动物
411	repulse	击退
412		拒绝，排斥；憎恶
413	repute	名声
414	reputed	名誉好的，被称为...的，有...名气的
415	disrepute	坏名声，不光彩
416	rescue	援救，救援
417	resemble	像，类似
418	resemblance	相似，酷肖
419	resent	愤怒，怨恨
420	resentful	忿恨的，怨恨的
421	reserve	储备；保留，预定
422	be reserved to	留作...只用
423	preserve	保护，保存
424	reservoir	水库, 蓄水池
425	reside	居住
426	resident	居民
427	residential	住宅的，与居住有关的
428	residence	居住，住处
429	residue	剩余，残余，渣滓
430	residual	剩余的，残留的
431	resist	抵抗
432		不受...影响，抗，耐
433	resistant	抵抗的，有抵抗力的
434	resistance	反抗，抵抗；抵抗力，阻力
435	irresistible	不可抵抗的, 不能压制的
436	resolute	坚决的，毅然的
437	resolve	解决
438	resolution	坚定;决定,解决;分辨率,解析度
439	resonance	回声，反响
440	resort	旅游胜地
441		凭借，求助于
442	resource	资源，财力；办法，智谋
443	respect	尊敬，敬重
444		方面
445	aspect	（问题等）方面；样子，外表
446	disrespect	失礼，无礼
447	respective	分别的，各自的
448	respectively	分别地，各个地
449	respiration	呼吸
450	respiratory	呼吸的
451	respond	回答，反应
452	correspond	符合，协调；通信
453	correspondence	通信，信件
454		相应，对应
455	corresponding	相应的
456	responsible	有责任的
457		负责的；可依赖的
458	responsibility	责任，职责
459	irresponsible	不负责任的，不可靠的
460	responsive	响应的，做出相应的
461	restore	使恢复；整修，修复
462	restoration	恢复；翻新
463	restraint	抑制，克制
464	restrain	克制，抑制
465	unrestrained	无限制的
466	restrict	限制，约束
467	restriction	限制，约束
468	restrictive	限制性的
469	unrestricted	无限制的，自由的
470	retail	零售的
471	retailer	零售商
472	tailor	裁缝师
473	retain	保持，保留
474	retentive	保留的，有记忆的
475	retire	退休，引退
476	retirement	退休
477	retool	将机械重新整备，重组
478	retract	缩回，撤回
479		收回，取消
480	retreat	消退，退却
481		隐退处
482		撤退，退却
483	retrieve	重新找回，取回；找回猎物
484	retriever	能把猎物找回来的猎狗的一种
485	retrospect	反顾，回顾
486	retrospective	回顾的，怀旧的
487	reveal	展现；揭露
488	revere	尊崇，尊敬
489	revered	可敬的，尊敬的
490	reverently	虔诚地
491	irreverent	不尊敬的
492	irreverence	不尊敬
493	reverse	颠倒，翻转
494		背面
495		相反的，倒转的
496	reversible	可逆的，可翻转的
497	irreversible	不能撤回的，不能取消的
498	revise	修改，修订
499	revision	修订，校订
500	revitalization	新生，复兴
501	revive	使复活；使振奋
502	revival	复兴，复活
503	revolt	反抗，起义，反叛
504	revolutionize	大事改革；在...方面发动革命
505	revolution	革命
506	revolutionary	革命的
507	rhetoric	修辞；修辞学
508	rhythm	节奏，韵律
509	rhythmic	有节奏的，有韵律的
510	rhythmical	有韵律的，有节奏的
511	ridge	脊，山脊
512	ridiculous	荒唐的，可笑的
513	ridicule	嘲笑
514	rifle	来复枪，步枪
515	rift	裂缝；断裂，长峡谷
516	drift	漂移；漂流物；（使）漂流
517	driftwood	流木，浮木
518	snowdrift	随风飘飞的雪
519	rigid	坚硬的，不易弯曲的
520		严格的
521	frigid	寒冷的；冷淡的
522	rigidity	僵化，死板
523		刚性，硬度
524	rigorous	严格的
525	rigor	严酷；严格，严厉
526	rinse	用清水冲洗；漱
527	riot	暴动，骚乱
528	rip	撕，撕裂
529	drip	水滴； v. （使）滴下
530	dripstone	滴水石；滤石
531	ripe	熟的；成熟的
532	ripen	（使）成熟
533	risky	危险的，冒险的
534	frisky	活泼的，欢闹的
535	briskness	敏捷，活泼
536	rite	仪式
537	ritual	典礼,宗教仪式；例行公事,常规
538		典礼的，宗教仪式的
539	rival	比得上，与...相匹敌
540		竞争的
541		竞争者；匹敌者
542	rivalry	竞争；敌对状态
543	roam	漫游，漫步
544	roar	吼，轰鸣
545	roast	烤，烘
546	robust	强壮的，健壮的
547	rod	杆；枝
548	role	角色，任务
549	roll	滚动
550		（一）卷，卷形物
551	roost	栖息处，鸟巢
552		栖息
553	rooster	公鸡
554	rotate	轮流
555		（使）旋转
556	rotation	旋转
557	rote	死记硬背，生搬硬套
558	rough	粗糙的；不平的
559	roughly	概略地；大致地
560	routine	常规，惯例
561		常规的，日常的
562	routinely	例行公事地
563	rubbery	橡胶似的，有弹性的
564	rubble	（一堆）碎石，瓦砾
565	pebble	小圆石，小鹅卵石
566	rudimentary	基本的；初步的，发展未完全的
567	rugged	高低不平的；崎岖的
568	ruin	破坏，毁灭
569	ruins	废墟，遗迹
570	rumble	发出低沉的隆隆声
571		隆隆声，辘辘行驶声
572	rupture	断裂，断绝
573	rural	农村的，乡下的，田园的
574	urban	都市的
575	rust	锈，生锈
576		（植物）患锈病
577	rustic	乡村的，乡下风格的
578	sac	（生物）囊，液囊
579	sack	袋，麻袋
580	knapsack	(士兵或徒步旅行者用的帆布或皮制的)背包
581	sacred	宗教的；祭祀的
582		神圣的，不可冒犯的
583	saddle	鞍子，马鞍
584	saga	英雄传奇
585	sake	缘故；原因
586	salient	显著的，突出的
587	saline	含盐的，咸的
588	saliva	口水，唾液
589	salinity	盐分，盐度
590	saltiness	盐度
591	desalination	脱盐作用
592	sample	范例，样品
593	sanctimonious	假装神圣的，伪装虔诚的
594	sanction	制裁
595		批准，认可
596	sanctuary	避难所；动物保护区
597		圣所，圣殿
598	infirmary	医院, 医务室<美>养老院, 救济院
599	sandy	沙的，多沙的
600	sanitation	（公共、环境）卫生，卫生设施
601	sanitary	（有关）卫生的
602	sap	树液，汁液
603		使衰竭
604	sapphire	蓝宝石
605	sarcastic	讽刺的，挖苦的
606	satire	讽刺；讽刺文学
607	satiric	讽刺的，挖苦的
608	satirist	讽刺作家
609	satisfactory	令人满意的，符合要求的
610	unsatisfactory	令人不满意的
611	saturate	浸透，使湿透
612	saturated	饱和的；浸透的
613	saucer	茶碟，垫盘
614	save	拯救；保留
615		除...之外
616	savings	储蓄，存款
617	lifesaver	救生者, 水难救生员
618	scale	攀登
619		等级，刻度；规模
620		鱼鳞，鳞片
621	scaled	有鳞状斑点的，有鳞的
622	upscale	高消费阶层的
623	scan	扫描；细看，审视
624	scapegoat	替罪羊，代人受过的人
625	scarce	缺乏的，稀有的，罕见的
626	scarcely	几乎不，简直没有
627	scare	惊吓，使受惊
628	scarlet	猩红的，鲜红的
629	scatter	使分散，扩散
630	scavenger	清道夫，食腐动物
631	scene	地点，现场；景色
632	scenery	风景，景色
633	scenic	风景如画的
634	scent	气味；香味
635	ascent	上升，攀登
636	descent	降下，降落；世系，血统
637	quiescent	静止的
638	incandescent	遇热发光的, 白炽的
639	fluorescent	荧光的, 莹光的
640	adolescent	青少年
641	schedule	时间表；计划表
642		预定，安排
643	reschedule	重新计划, 重订...的时间表
644	scheme	方案
645		阴谋
646	scholar	学者
647	scholarship	奖学金
648	scholarly	学者气质的，学术的
649	scissors	剪刀
650	scope	范围，界限
651	microscope	显微镜
652	telescope	望远镜
653	score	分数，得分；刻痕，划痕
654		乐谱
655		记分
656	scotch	镇压，粉碎
657	Scotch	苏格兰的
658	scour	冲刷，擦掉
659	scout	侦察；侦察员
660		侦察
661	scramble	搅乱，使混杂
662		攀爬
663	amble	缓行，漫步
664	scrap	废料，残余物
665		废弃，扔弃
666	scrape	刮，擦；擦痕
667		刮掉，擦掉；vt. 刮，擦，擦伤
668	scraping	刮削下的碎屑
669	scratch	搔，抓，擦
670		划痕
671	screen	屏幕
672		甄别，审察；掩盖
673	screw	螺旋，螺钉
674		旋紧，拧紧
675	screwdriver	螺丝刀
676	scruple	踌躇；顾忌
677	scrupulously	小心翼翼地
678	unscrupulously	肆无忌惮地，无道德的
679	scuba	水中呼吸器
680	sculpture	雕塑；雕刻品
681	sculpt	雕刻，造型
682	sculptor	雕刻家
683	sculptural	雕刻的，雕刻般的
684	sea cucumber	海参
685	cucumber	黄瓜
686	seam	接缝，缝合线
687	seamen	海员
688	seabed	海底，海床
689	seamount	海底山
690	seaport	海港，港口
691	seashore	海岸，海滨
692	seaweed	海草，海藻
693	seasoning	调味品，调料
694	seasonal	季节的，季节性的
695	unseasonably	不合时令地，不合时宜地
696	seclusion	独处，隐居
697	seclude	使隔离，使孤立
698	secondary	中级的
699		次要的，伴随的
700	secrete	分泌；隐匿，使隐秘
701	secretin	分泌素
702	oversecretion	分泌过多
703	secret	秘密
704	sect	宗派，教派
705	sector	扇形面；地区
706	section	部分，节
707	sectional	部分的，部门的
708	subsection	分部，分段
709	intersected	分割的
710	intersection	十字路口, 交叉点
711	secular	世俗的，尘世的
712	secure	使安全，保卫
713		获得
714		安全的；确定无疑的
715	securely	安心地, 安全地
716	security	安全
717	sedentary	（人或动物）定居的，不迁徙的；（人）久坐的
718		（工作）坐着做的（不需运动）
719	sediment	沉积物，沉淀物
720	sedimentary	沉积的，沉淀性的
721	seduce	勾引，诱惑
722	seedling	秧苗, 树苗
723	seemingly	表面上，似乎
724	segment	部分；片断
725	segregate	分离，隔离
726	seismic	地震的；由地震引起的
727	seismology	地震学
728	seismograph	地震仪
729	selection	选择, 挑选；选集, 精选品
730	self-sufficient	自给自足的
731	semimolten	半熔化的
732	semester	学期
733	senator	参议员
734	sensational	极好的，绝妙的；引起轰动的
735	sensation	感觉，知觉
736	sensible	明智的，合理的
737		可感觉到的，明显的
738	sensibility	敏感性，感性
739	sensitive	灵敏的
740		敏感的，易受影响的
741	sensitivity	敏感
742	hypersensitive	非常敏感的
743	photosensitive	[物] 感光性的
744	sensory	感觉的，感官的
745	sentimental	感伤性的, 感情脆弱的
746	sentimentalize	使感伤；使多愁善感
747	sentimentalism	感情主意，感情用事
748	sequence	序列；顺序
749	consequence	结果
750	serene	平静的，安详的
751	serious	严肃的，认真的
752		严重的
753	seriously	认真地；庄重地
754	serrated	锯齿状的
755	setting	背景，环境；装置
756	set aside for	专门留出时间做...
757	sewerage	排水系统
758	sewer	下水道；裁缝师
759	shade	阴，阴凉处；阴影
760		遮光物，帘
761	lampshade	灯罩
762	shaft	杆状物，轴
763	shallow	浅的
764	sharpen	削尖；使敏锐，使敏捷
765	sharply	突然地，猛烈地
766	shatter	使粉碎，破碎
767	shear	剪，修剪，剪切
768		shears 剪刀
769	sheath	鞘，外壳
770	shed	脱落，蜕
771		流出；发散
772		棚，小屋
773	sheer	陡峭的
774		纯粹的，绝对的
775	shell	壳
776		去壳，脱落
777	eggshell	蛋壳
778	shellfish	贝，有壳的水生动物
779	shelter	掩蔽处；庇护所
780		掩蔽
781	sheltered	遮蔽的
782	shepherd	牧羊人；牧羊犬
783	shield	庇护，保护
784		盾；保护物
785	shift	移动，改变位置或方向
786		轮班
787		转移；改变
788	shifting	变动的；运动的
789	shine	照耀，发光
790	shining	发亮的，华丽的
791	shiny	有光泽的，发光的
792	sunshine	阳光
793	shingle	<美口>小招牌(尤指医生或律师挂的营业招牌)
794	shipment	装运；装载的货物
795	shipwright	造船工人
796	wright	建造者，制造者
797	playwright	剧作家
798	shock	震动，震惊
799		震惊，激怒
800	shocking	骇人听闻的
801	shocked	震惊的，震撼的
802	shortcut	捷径
803	short-range	近程的
804	shot	照相，照片
805		开枪，射击
806	shrink	收缩，缩小
807	shrinkage	收缩
808	shrivel	（使）枯萎
809	shrub	灌木；灌木丛
810	shuffle	洗牌
811	shuffle the deck	洗牌
812	shutter	(pl)百叶窗
813	shuttle	梭子；往返汽车
814		穿梭往返
815	shy	害羞的；胆小的
816	shyness	羞怯，胆怯
817	flashy	浮华的
818	marshy	沼泽般的，湿软的
819	sick	不舒服的，有病的；恶心的
820	homesick	思家的，思乡病的
821	airsickness	晕机
822	sickness	疾病；呕吐
823	sidestep	横跨一步躲闪；回避(困难)
824	sideways	向一旁，向侧面地
825	significant	有意义的；重要的，重大的
826	significance	意义，含义；重要性
827	insignificant	无关紧要的, 可忽略的, 无意义的
828	signify	表示，意味
829	silica	硅石，硅土
830	silicate	[化]硅酸盐
831	silly	愚蠢的；糊涂的；傻的
832	silt	淤泥
833	silversmith	银器匠
834	blacksmith	铁匠
835	simplicity	简单；朴素
836	simulate	模拟，模仿
837	simultaneous	同时的, 同时发生的
838	sinuous	蜿蜒的，迂回的
839	skeleton	骨架；纲要
840	skeptical	怀疑的；多疑的
841	skepticism	怀疑
842	sketch	草图；素描
843		打草稿；素描
844	skimp	节省，节俭；吝啬
845	skip	跳
846		逃过；遗漏
847	skip class	旷课
848	skull	头骨
849	skyrocket	猛涨，突增
850	skyscraper	摩天大楼
851	slab	（四边形的厚物质）板，片
852	slander	诽谤
853	slash	大量消减
854	slender	苗条的；纤细的
855	slice	薄片；部分，份
856		切成薄片，切下
857	slide	（使）滑动，（使）滑行
858		幻灯片；滑，滑动
859	landslide	[地]山崩
860	slight	轻微的；微小的，微不足道的
861	slightly	些微地
862	slime	黏土；黏液
863	slimy	黏糊糊的；（分泌）黏液的
864	slip	片，纸片
865		滑倒；事故
866		滑动；滑倒
867	slip one's mind	忘记
868	slipper	拖鞋
869	slippery	（物体表面）滑的，光滑的
870	slope	斜坡，斜面
871	sloping	倾斜的，有坡度的
872	sloth	树懒；怠惰，懒惰
873	slothful	迟钝的，懒惰的
874	slow breeding	繁殖缓慢的
875	sluggish	行动迟缓的；不活泼的
876	slum	贫民窟
877	slumber	睡眠
878	smart	巧妙的，聪明的
879	smelting	冶炼
880	smog	烟雾
881	smoothly	平稳地；顺利地
882	smother	使窒息
883		熄灭；覆盖
884	smuggle	走私
885	snap	突然折断
886		突然抓住或握住
887	snippet	小片，片段；摘录
888	snowflake	雪花
889	flake	薄片 vt. 使成薄片
890	snug	温暖舒适的
891	sociable	好交际的，友善的
892	social distinction	具有明显的社会身分或地位
893	solar	太阳的
894	solar cell	太阳能电池
895	solder	焊接，焊在一起
896	soldier	军人，士兵
897	sole	单独的，惟一的
898		鞋底
899	solely	独自地，单独地
900	solemn	严肃的；庄严的，隆重的
901	solicit	恳求，乞求
902	solicitor	律师，法律顾问
903	solidarity	团结，团结一致
904	solidify	使凝结，使团结，使巩固
905	solitary	孤独的；独居的
906	solitude	孤独；独处
907	solo	独奏曲
908		单独的
909	soloist	独奏者，独唱者
910	soluble	可溶的，可溶解的
911	solution	解答，解决
912		溶液
913	resolution	分辨率
914	somewhat	稍微，有点
915	soothe	使（某人情绪）平静，安慰；使（痛苦，疼痛）缓和或减轻
916	sophisticated	(事物)复杂的；(人)久经事故的
917	unsophisticated	不懂世故的, 单纯的
918	sophistication	老练；精致复杂
919	sort	种类，分类
920	soundproof	使隔音
921		隔音的
922	sour	酸的
923	souvenir	纪念品
924	sovereignty	主权，统治权
925	sovereign	君主；统治
926		独立自主的
927	sow	播种
928	soybean	大豆
929	bean	豆子
930	soy	大豆
931	spaceship	宇宙飞船
932	spacecraft	宇宙飞船
933	space shuttle	航天飞机
934	spacious	广大的，宽敞的
935	span	跨度；一段时间
936		跨越
937	spangle	（使）闪烁
938	spanking	强烈的，疾行的
939	wingspan	[空]翼展
940	spare	多余的，备用的
941		节约，节省
942		剩余，备用品
943	sparingly	节俭地，保守地
944	sparrow	麻雀
945	spark	火花，火星
946		发动，激起
947	sparse	稀少的；稀疏的
948	sparsely	稀疏地，稀少地
949	spawn	产卵，大量生育
950		造成，酿成
951	specialized	专业的，专门的
952	species	类群，种类
953	subspecies	[生]亚种
954	specify	明确说明；具体指定
955	specified	特定的
956	specific	具体的，特指的
957	specification	规格，详细说明书
958	specimen	标本，样品
959	speck	斑点
960	flyspeck	蝇粪留下的污点, 污点
961	spectacle	奇观；展示，景象
962	spectacular	引人入胜的，壮观的
963	spectacularly	引人入胜地
964	spectator	参观者，观众
965	spectrum	谱，光谱
966	spectra	光谱
967	speculate	推测；沉思
968	speedy	快的，迅速的
969	sphere	球体
970	spherical	球的，球状的
971	hemisphere	半球
972	chromosphere	色球
973	magnetosphere	磁气圈
974	lithosphere	[地]岩石圈
975	photosphere	光球
976	hydrosphere	水圈, 水气, 水界
977	ionosphere	电离层
978	spill	溢出
979		溢出，溅出
980	pill	药丸
981	spine	脊骨；书脊；刺
982	spinal	脊骨的，脊髓的
983	spinal cord	脊髓
984	spined	带刺的；有脊骨的，有脊柱的
985	spiny	多刺的，刺状的
986	spinet	小型立式钢琴
987	spinach	菠菜
988	spinning	旋转的
989	spiral	螺旋形的，盘旋的
990		盘旋
991	spiritual	精神上的
992	splash	溅，泼
993	splendor	壮丽，辉煌
994	split	劈开，（使）裂开；分开
995	spoil	损坏；腐烂
996		宠爱，溺爱
997	spoilage	（食物等）变质，损坏
998	unspoiled	未损坏的
